study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,percent_organic_carbon
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T2_D1_1,single set of methods,10,20,LWR_SM_T2_D1_10_20,1.43572,0.4056
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T2_D0.5_1,single set of methods,0,5,LWR_SM_T2_D0.5_0_5,1.3335500000000002,0.44
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T2_D0.5_1,single set of methods,5,10,LWR_SM_T2_D0.5_5_10,1.3413,0.507
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T2_D0.5_1,single set of methods,10,20,LWR_SM_T2_D0.5_10_20,1.38048,0.42250000000000004
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T2_D0_1,single set of methods,0,5,LWR_SM_T2_D0_0_5,1.2691,0.57
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T2_D0_1,single set of methods,5,10,LWR_SM_T2_D0_5_10,1.38215,0.507
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T2_D0_1,single set of methods,10,20,LWR_SM_T2_D0_10_20,1.5490199999999998,0.47320000000000007
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T3_D5_1,single set of methods,0,5,LWR_SM_T3_D5_0_5,1.3896499999999996,0.92
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T3_D5_1,single set of methods,5,10,LWR_SM_T3_D5_5_10,1.1197000000000004,1.6562000000000001
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T3_D5_1,single set of methods,10,20,LWR_SM_T3_D5_10_20,1.23584,1.7914
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T3_D3_1,single set of methods,0,5,LWR_SM_T3_D3_0_5,1.0974000000000004,0.47
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T3_D3_1,single set of methods,5,10,LWR_SM_T3_D3_5_10,1.4489999999999998,0.5746000000000001
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T3_D3_1,single set of methods,10,20,LWR_SM_T3_D3_10_20,1.5709600000000001,0.3718000000000001
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T3_D1_1,single set of methods,0,5,LWR_SM_T3_D1_0_5,1.2232500000000002,0.47
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T3_D1_1,single set of methods,5,10,LWR_SM_T3_D1_5_10,1.3254000000000001,0.5746000000000001
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T3_D1_1,single set of methods,10,20,LWR_SM_T3_D1_10_20,1.3851999999999998,0.7605000000000002
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T3_D0.5_1,single set of methods,0,5,LWR_SM_T3_D0.5_0_5,1.1500666666666666,0.66
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T3_D0.5_1,single set of methods,5,10,LWR_SM_T3_D0.5_5_10,1.3249000000000002,1.3351000000000002
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T3_D0.5_1,single set of methods,10,20,LWR_SM_T3_D0.5_10_20,1.3750200000000001,0.5914999999999999
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T3_D0_1,single set of methods,0,5,LWR_SM_T3_D0_0_5,1.1921333333333333,0.51
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T3_D0_1,single set of methods,5,10,LWR_SM_T3_D0_5_10,1.4963500000000003,0.5239
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Lower,LWR_SM_T3_D0_1,single set of methods,10,20,LWR_SM_T3_D0_10_20,1.33392,0.5914999999999999
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_INT_T1_D5_1,single set of methods,0,5,UPR_INT_T1_D5_0_5,1.00125,0.53
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_INT_T1_D5_1,single set of methods,5,10,UPR_INT_T1_D5_5_10,1.0398999999999998,0.52
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_INT_T1_D5_1,single set of methods,10,20,UPR_INT_T1_D5_10_20,0.7996599999999999,0.55
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_INT_T1_D5_1,single set of methods,20,50,UPR_INT_T1_D5_20_50,1.0961600000000002,0.72
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_INT_T1_D3_1,single set of methods,0,5,UPR_INT_T1_D3_0_5,0.35840000000000033,0.86
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_INT_T1_D3_1,single set of methods,5,10,UPR_INT_T1_D3_5_10,0.9584999999999997,0.49
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_INT_T1_D3_1,single set of methods,10,20,UPR_INT_T1_D3_10_20,0.9415399999999998,0.57
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_INT_T1_D3_1,single set of methods,20,50,UPR_INT_T1_D3_20_50,1.14508,0.46
