"study_id","site_id","plot_id","plant_id","year","month","day","species","plot_radius","alive_or_dead","decay_class","diameter","diameter_height","diameter_flag","basal_area","basal_density","total_height","canopy_height","height_method","canopy_quality","plant_AGB_kg_general","plant_AGC_kg_general","plant_AGB_kg_species","plant_AGC_kg_species","plant_BGB_kg","plant_BGC_kg","plant_notes"
"Romero_et_al_2025","R2","4","R2_4_1",2016,8,17,"Rhizophora mangle",7,"alive",NA,"5","1.6","diameter above lowest prop root","0.0019625","19.625","4",NA,"clinometer","medium",NA,NA,NA,NA,NA,NA,"sano"
"Romero_et_al_2025","R2","4","R2_4_2",2016,8,17,"Rhizophora mangle",7,"alive",NA,"7","2","diameter above lowest prop root","0.0038465","38.465000000000003","5",NA,"clinometer","low",NA,NA,NA,NA,NA,NA,"sano"
"Romero_et_al_2025","R2","4","R2_4_3",2016,8,17,"Rhizophora mangle",2,"alive",NA,"10","1.8","diameter above lowest prop root","0.00785","78.5","5",NA,"clinometer","medium",NA,NA,NA,NA,NA,NA,"sano"
"Romero_et_al_2025","R2","4","R2_4_3",2016,8,17,"Rhizophora mangle",2,"alive",NA,"13","2.4","diameter above lowest prop root","0.0132665","132.66499999999999","6.5",NA,"clinometer","low",NA,NA,NA,NA,NA,NA,"sano"
"Romero_et_al_2025","R2","5","R2_5_1",2016,8,17,"Rhizophora mangle",2,"alive",NA,"14","2.5","diameter above lowest prop root","0.015386","153.86000000000001","7",NA,"clinometer","low",NA,NA,NA,NA,NA,NA,"hongos"
"Romero_et_al_2025","R2","6","R2_6_1",2016,8,17,"Rhizophora mangle",7,"alive",NA,"7","2","diameter above lowest prop root","0.0038465","38.465000000000003","10",NA,"clinometer","low",NA,NA,NA,NA,NA,NA,"sano"
"Romero_et_al_2025","R2","6","R2_6_2",2016,8,17,"Rhizophora mangle",2,"alive",NA,"13","2.5","diameter above lowest prop root","0.0132665","132.66499999999999","10",NA,"clinometer","low",NA,NA,NA,NA,NA,NA,"sano"
"Romero_et_al_2025","R3","1","R3_1_2",2016,8,18,"Rhizophora racemosa",2,"alive",NA,"27","1.7","diameter above lowest prop root","0.0572265","572.26499999999999","18","12","clinometer","high",NA,NA,NA,NA,NA,NA,"sano"
"Romero_et_al_2025","R3","1","R3_1_1",2016,8,18,"Rhizophora racemosa",7,"alive",NA,"76","5","diameter above lowest prop root","0.453416","4534.16","28","15","clinometer","high",NA,NA,NA,NA,NA,NA,"sano"
"Romero_et_al_2025","R3","2","R3_2_4",2016,8,18,"Rhizophora racemosa",2,"dead","3","12","2.5","diameter above lowest prop root","0.011304","113.03999999999999","6","5","clinometer","low",NA,NA,NA,NA,NA,NA,"fuste hueco"
"Romero_et_al_2025","R3","2","R3_2_3",2016,8,18,"Rhizophora racemosa",2,"alive",NA,"20","4","diameter above lowest prop root","0.0314","314","20","18","clinometer","high",NA,NA,NA,NA,NA,NA,"sano"
"Romero_et_al_2025","R3","2","R3_2_2",2016,8,18,"Rhizophora racemosa",2,"alive",NA,"20.5","3.8","diameter above lowest prop root","0.032989625","329.89625000000001","18","16","clinometer","high",NA,NA,NA,NA,NA,NA,"plaga insectos"
"Romero_et_al_2025","R3","2","R3_2_1",2016,8,18,"Rhizophora racemosa",2,"alive",NA,"25","3.5","diameter above lowest prop root","0.0490625","490.625","24","12","clinometer","low",NA,NA,NA,NA,NA,NA,"hongos, plaga insectos"
