"study_id","site_id","plot_id","core_id","representative_depth_min","representative_depth_max","sediment_dry_weight","dry_bulk_density","fraction_carbon","fraction_h2o","depth_interval_notes","soil_color","soil_carbon_density","interval_carbon_stock"
"Romero_et_al_2025","R2","6","R2-6","50","100","90.88",0.81448288223696,0.0278,0.563666811387459,"Raíces y dos raíces grandes","Gray",0.02264,0.54342
"Romero_et_al_2025","R3","1","R3-1","0","15","48.03",0.455045002368546,0.0703,0.357792014302741,"Raíces y una raíz grande","Grayish brown",0.03199,0.47984
"Romero_et_al_2025","R3","1","R3-1","15","30","35.17",0.318944409177474,0.0801,0.297647257955315,"Raíces y una raíz grande","Dark gray",0.02555,0.38321
"Romero_et_al_2025","R3","1","R3-1","30","50","46.51",0.418933525490903,0.0654,0.346494822319899,"Raíces y una raíz grande","Dark gray",0.0274,0.54797
"Romero_et_al_2025","R3","2","R3-2","0","15","48.4",0.458550450023685,0.0547,0.37362976686737703,"Pocas raíces","Light brownish gray",0.02508,0.37624
"Romero_et_al_2025","R3","2","R3-2","15","30","58.2",0.527795411263263,0.0504,0.397975929978118,"Raíces","Light brownish gray",0.0266,0.39901
"Romero_et_al_2025","R3","2","R3-2","30","50","50.93",0.458746171860926,0.054900000000000004,0.37037306377718,"Una raíz grande","Gray",0.02519,0.35259
"Romero_et_al_2025","R3","3","R3-3","0","15","39.15",0.370914258645192,0.0953,0.299151830060365,"Raíces y una raíz grande","Gray",0.03535,0.53022
"Romero_et_al_2025","R3","3","R3-3","15","30","36.9",0.334633173120522,0.08380000000000001,0.294164540816327,"Raíces y una raíz grande","Gray",0.02804,0.42063
"Romero_et_al_2025","R3","3","R3-3","30","50","47.91",0.431543865970095,0.0786,0.333728057954862,"Raíces y una raíz grande","Very dark gray",0.03392,0.67839
"Romero_et_al_2025","R3","3","R3-3","50","100","62.44",0.559598494353827,0.063,0.418751257460935,"Raíces y una raíz grande","Dark gray",0.03525,0.84611
"Romero_et_al_2025","R3","4","R3-4","0","15","38.6",0.365703458076741,0.061,0.316186107470511,"Raíces","Grayish brown",0.02231,0.33462
"Romero_et_al_2025","R3","4","R3-4","15","30","40.19",0.364469030561349,0.0679,0.28550117212474196,"Raíces y una raíz grande","Gray",0.02475,0.37121
"Romero_et_al_2025","R3","4","R3-4","30","50","41.81",0.376598811025041,0.056100000000000004,0.314006759294029,"Raíces y una raíz grande","Gray",0.02113,0.42254
"Romero_et_al_2025","R3","4","R3-4","50","100","67.02",0.60064527693135,0.053200000000000004,0.44437077310701495,"Pocas raíces y una raíz grande","Gray",0.03195,0.86277
"Romero_et_al_2025","R3","5","R3-5","0","15","37.37",0.354050213169114,0.0825,0.321241296312215,"Pocas raíces y una raíz grande","Gray",0.02921,0.43814
"Romero_et_al_2025","R3","5","R3-5","15","30","35.11",0.31840029019679,0.08800000000000001,0.269558541266795,"Raíces y una raíz grande","Dark gray",0.02802,0.42029
"Romero_et_al_2025","R3","5","R3-5","30","50","47.7",0.429652314898217,0.0611,0.363013698630137,"Raíces","Dark gray",0.02625,0.52504
"Romero_et_al_2025","R3","5","R3-5","50","100","57.18",0.51245742964689,0.0508,0.418809052955394,"Raíces y una raíz grande","Gray",0.02603,0.85908
"Romero_et_al_2025","R3","6","R3-6","0","15","50.9",0.482235907153008,0.0737,0.396139777414585,"Raíces y una raíz grande","Grayish brown",0.03554,0.53311
"Romero_et_al_2025","R3","6","R3-6","15","30","49.82",0.451800126961096,0.0661,0.384294970688059,"Pocas raíces y una raíz grande","Gray",0.02986,0.44796
"Romero_et_al_2025","R3","6","R3-6","30","50","41.68",0.375427850837687,0.067,0.335129050414087,"Raíces y una raíz grande","Dark gray",0.02515,0.50307
"Romero_et_al_2025","R4","1","R4-1","0","15","57.88",0.548365703458077,0.0504,0.409017030598544,"Raíces","Light brownish gray",0.02764,0.41456
"Romero_et_al_2025","R4","1","R4-1","15","30","55.09",0.499591910764487,0.052300000000000006,0.391625790858037,"Raíces","Gray",0.02613,0.39193
"Romero_et_al_2025","R4","2","R4-2","0","15","33.75",0.319753671245855,0.1325,0.277983691623425,"Raíces y una raíz grande","Very dark gray",0.04237,0.63551
"Romero_et_al_2025","R4","2","R4-2","15","30","34.47",0.312596354402829,0.14300000000000002,0.284405940594059,"Raíces","Very dark gray",0.0447,0.67052
"Romero_et_al_2025","R4","2","R4-2","30","50","38.05",0.342731039452351,0.11380000000000001,0.30834683954619097,"Raíces y una raíz grande","Very dark gray",0.039,0.78006
"Romero_et_al_2025","R4","3","R4-3","0","15","32.97",0.312363808621506,0.1286,0.275738061386635,"Raíces y una raíz grande","Dark gray",0.04017,0.8034
"Romero_et_al_2025","R4","3","R4-3","15","30","37.64",0.341343973882289,0.1174,0.318551117129316,"Raíces y una raíz grande","Very dark gray",0.04007,0.60111
"Romero_et_al_2025","R4","3","R4-3","30","50","45.14",0.406593406593407,0.1139,0.33868547418967604,"Pocas raíces y una concha de 0.8cm","Very dark gray",0.04631,0.69466
"Romero_et_al_2025","R4","3","R4-3","50","100","45.56",0.40831690267073,0.1245,0.33350413586121097,"Raíces","Very dark gray",0.05084,1.01671
"Romero_et_al_2025","R4","4","R4-4","0","15","48.06",0.455329227854098,0.07690000000000001,0.361979362807863,"Raíces","Gray",0.03501,0.66528
