"study_id","site_id","core_id","method_id","representative_depth_min","representative_depth_max","dry_bulk_density","fraction_carbon","depth_interval_notes"
"Romero_et_al_2025","SL1","SL1-6","single set of methods",0,15,0.885836096636665,0.0288,"Raíces"
"Romero_et_al_2025","SL1","SL1-6","single set of methods",15,30,0.918110093407092,0.024,"Raíces"
"Romero_et_al_2025","SL1","SL1-6","single set of methods",30,50,0.381102504053324,0.0662,"Raíces"
"Romero_et_al_2025","SL1","SL1-6","single set of methods",50,100,0.533608173507797,0.0611,"30% raíz"
"Romero_et_al_2025","SL10","SL10-1A","single set of methods",0,15,0.332638559924207,0.08710000000000001,"30% raíces"
"Romero_et_al_2025","SL10","SL10-1A","single set of methods",15,30,0.355491067380067,0.1054,"Raíces"
"Romero_et_al_2025","SL10","SL10-1A","single set of methods",30,50,0.352278868672311,0.0891,"20% raíces"
"Romero_et_al_2025","SL10","SL10-1A","single set of methods",50,100,0.391557626814841,0.0767,"20% raíces"
"Romero_et_al_2025","SL10","SL10-1B","single set of methods",0,15,0.30838465182378,0.0728,"Pocas raíces"
"Romero_et_al_2025","SL10","SL10-1B","single set of methods",15,30,0.268341343973882,0.1032,"Pocas raíces"
"Romero_et_al_2025","SL10","SL10-1C","single set of methods",0,15,0.277498815727144,0.0963,"Raíces"
"Romero_et_al_2025","SL10","SL10-1C","single set of methods",15,30,0.278860977600435,0.1075,"Raíces y una raíz grande"
"Romero_et_al_2025","SL10","SL10-1C","single set of methods",30,50,0.293550711583498,0.1246,"Raíces y una raíz grande"
"Romero_et_al_2025","SL10","SL10-1C","single set of methods",50,100,0.294317978132282,0.0966,"Raíces"
"Romero_et_al_2025","SL10","SL10-2","single set of methods",0,15,0.243675982946471,0.1085,"50% raíces y una raíz grande"
"Romero_et_al_2025","SL10","SL10-2","single set of methods",15,30,0.293280130588555,0.1007,"75% raíces y una raíz grande"
"Romero_et_al_2025","SL10","SL10-2","single set of methods",30,50,0.254368582237435,0.1178,"75% raíces y una raíz grande"
"Romero_et_al_2025","SL10","SL10-2","single set of methods",50,100,0.306954651371213,0.0938,"30% raíces y dos raíz grandes"
"Romero_et_al_2025","SL10","SL10-3A","single set of methods",0,15,0.256466129796305,0.1125,"Raíces"
"Romero_et_al_2025","SL10","SL10-3A","single set of methods",15,30,0.28239775097488,0.1283,"Raíces y una raíz grande"
"Romero_et_al_2025","SL10","SL10-3A","single set of methods",30,50,0.220320662943614,0.1085,"Raíces y cinco raíz grandes"
"Romero_et_al_2025","SL10","SL10-3A","single set of methods",50,100,0.223785624663918,0.1145,"Raíces y una raíz grande"
"Romero_et_al_2025","SL10","SL10-3B","single set of methods",0,15,0.263666508763619,0.1348,"Raíces y una raíz grande"
"Romero_et_al_2025","SL10","SL10-3B","single set of methods",15,30,0.238868232520178,0.14550000000000002,"Raíces"
"Romero_et_al_2025","SL10","SL10-3B","single set of methods",30,50,0.265087371644749,0.129,"Raíces y una raíz grande"
"Romero_et_al_2025","SL10","SL10-3C","single set of methods",0,15,0.252960682141165,0.1311,"Raíces"
"Romero_et_al_2025","SL10","SL10-3C","single set of methods",15,30,0.22771379341616,0.1068,"Raíces"
"Romero_et_al_2025","SL10","SL10-3C","single set of methods",30,50,0.259412718429112,0.1136,"Raíces y dos raíz grandes"
"Romero_et_al_2025","SL10","SL10-3C","single set of methods",50,100,0.283473740813766,0.1047,"Raíces"
"Romero_et_al_2025","SL10","SL10-4","single set of methods",0,15,0.245665561345334,0.0994,"Raíces"
"Romero_et_al_2025","SL10","SL10-4","single set of methods",15,30,0.351410175024939,0.0943,"Raíces y una raíz grande"
"Romero_et_al_2025","SL10","SL10-4","single set of methods",30,50,0.289047018555215,0.0995,"Raíces y una raíz grande"
"Romero_et_al_2025","SL10","SL10-4","single set of methods",50,100,0.305879189818964,0.0964,"Raíces"
"Romero_et_al_2025","SL10","SL10-5","single set of methods",0,15,0.394599715774514,0.087,"Raíces y una raíz grande"
"Romero_et_al_2025","SL10","SL10-5","single set of methods",15,30,0.364650403554911,0.13140000000000002,"Raíces"
"Romero_et_al_2025","SL10","SL10-5","single set of methods",30,50,0.315708881282652,0.1132,"Raíces"
"Romero_et_al_2025","SL10","SL10-5","single set of methods",50,100,0.297902849973113,0.1044,"Raíces y dos raíz grandes"
